Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,36.009998,36.009998,35.360001,35.75,18784400,35.486702
2016-01-05,35.860001,36.119999,35.490002,35.639999,25340700,35.377511
2016-01-06,35.5,36.139999,35.360001,35.82,18165700,35.556186
2016-01-07,35.25,35.68,34.880001,35.040001,22591400,34.781932
2016-01-08,35.130001,35.279999,34.610001,34.650002,21962200,34.394805
2016-01-11,34.75,35.119999,34.52,34.939999,18726600,34.682666
2016-01-12,35.32,35.549999,34.990002,35.369999,18457300,35.109499
2016-01-13,35.189999,35.400002,33.869999,34.080002,28322900,33.829003
2016-01-14,34.189999,35.09,34.009998,34.790001,19523600,34.533773
2016-01-15,33.799999,34.509998,33.66,34.119999,25425000,33.868706
2016-01-19,34.540001,34.75,34.240002,34.549999,21423100,34.295539
2016-01-20,33.880001,34.23,33.130001,33.939999,25278700,33.690031
2016-01-21,33.91,34.560001,33.59,34.119999,20380300,33.868706
2016-01-22,34.549999,34.990002,34.529999,34.799999,15892700,34.543698
2016-01-25,34.580002,34.939999,34.299999,34.34,16793600,34.087086
2016-01-26,34.32,35.23,34.119999,35.23,19728900,34.970531
2016-01-27,35.029999,35.549999,34.73,34.91,20567600,34.652888
2016-01-28,35.169998,35.549999,34.939999,35.330002,15472800,35.069797
2016-01-29,35.650002,36.310001,35.509998,36.310001,19059300,36.042579
2016-02-01,35.900002,36.540001,35.849998,36.32,14144000,36.052503
2016-02-02,35.849998,35.939999,35.25,35.349998,17404500,35.089646
2016-02-03,35.560001,35.790001,34.939999,35.689999,13855300,35.427142
2016-02-04,35.700001,36.540001,35.66,36.450001,16925900,36.181547
2016-02-05,36.130001,36.240002,35.369999,35.700001,17312200,35.437071
2016-02-08,35.130001,35.700001,34.48,35.610001,20118800,35.347733
2016-02-09,35.130001,35.610001,34.619999,35.080002,17819800,34.821638
2016-02-10,35.419998,36.139999,35.139999,35.200001,13368700,34.940753
2016-02-11,34.59,35.110001,34.470001,34.84,18889700,34.583404
2016-02-12,35.240002,35.549999,34.91,35.540001,15837900,35.278249
2016-02-16,35.759998,35.91,35.419998,35.700001,19676300,35.437071
2016-02-17,35.970001,36.77,35.970001,36.630001,13186500,36.360222
2016-02-18,36.709999,36.869999,36.400002,36.630001,12866600,36.360222
2016-02-19,36.52,36.790001,36.419998,36.779999,13203400,36.509115
2016-02-22,37.110001,37.490002,36.900002,37.110001,10109900,36.836686
2016-02-23,37.110001,37.110001,36.380001,36.549999,9417100,36.280809
2016-02-24,36.09,36.73,35.77,36.630001,10978200,36.360222
2016-02-25,36.790001,37.299999,36.5,37.290001,11566000,37.01536
2016-02-26,37.43,37.650002,36.84,36.959999,16551100,36.687789
2016-02-29,37.0,37.330002,36.630001,36.779999,22300200,36.509115
2016-03-01,37.150002,37.990002,37.040001,37.990002,13030800,37.710206
2016-03-02,37.759998,37.889999,37.43,37.759998,12791200,37.481896
2016-03-03,37.610001,37.91,37.400002,37.889999,8832200,37.61094
2016-03-04,38.0,38.16,37.77,37.889999,10638400,37.61094
2016-03-07,37.540001,38.450001,37.52,38.360001,13011000,38.07748
2016-03-08,38.110001,38.450001,37.939999,38.150002,12384400,37.869027
2016-03-09,38.43,38.610001,38.119999,38.48,16786500,38.196595
2016-03-10,38.77,38.77,37.509998,38.049999,17620600,37.769761
2016-03-11,38.450001,38.970001,38.279999,38.950001,13143300,38.663134
2016-03-14,38.91,38.939999,38.549999,38.700001,14704500,38.414976
2016-03-15,38.349998,38.869999,38.130001,38.740002,17502900,38.454682
2016-03-16,39.549999,40.950001,39.529999,40.220001,49082300,39.923781
2016-03-17,40.150002,40.959999,40.07,40.610001,22163500,40.310908
2016-03-18,40.869999,41.490002,40.650002,41.48,34354000,41.1745
2016-03-21,41.419998,42.0,41.369999,41.610001,17275100,41.303543
2016-03-22,41.32,41.75,41.189999,41.380001,11970500,41.075238
2016-03-23,41.299999,41.349998,40.57,40.75,13666800,40.449877
2016-03-24,40.599998,41.07,40.34,40.970001,11956200,40.668258
2016-03-28,41.110001,41.110001,40.560001,40.619999,14647000,40.320833
2016-03-29,40.41,40.799999,40.369999,40.700001,15159200,40.400246
2016-03-30,40.959999,41.110001,40.849998,40.970001,9803600,40.668258
2016-03-31,41.130001,41.240002,40.799999,40.91,10196500,40.608698
2016-04-01,40.68,41.220001,40.619999,41.16,9574100,40.856857
2016-04-04,41.150002,41.279999,40.900002,41.07,10243500,40.76752
2016-04-05,40.849998,41.060001,40.459999,40.529999,9111300,40.231496
2016-04-06,40.400002,40.790001,40.189999,40.75,12516200,40.449877
2016-04-07,40.59,40.59,39.810001,39.970001,12838600,39.675623
2016-04-08,40.130001,40.540001,40.130001,40.360001,8011000,40.06275
2016-04-11,40.59,41.080002,40.380001,40.389999,10399600,40.092528
2016-04-12,40.310001,40.52,39.990002,40.419998,9245000,40.271867
2016-04-13,40.82,41.389999,40.630001,41.310001,12752300,41.158609
2016-04-14,41.310001,41.459999,41.18,41.240002,9150500,41.088866
2016-04-15,41.119999,41.380001,41.02,41.02,10340300,40.869671
2016-04-18,40.84,41.25,40.799999,41.240002,8849300,41.088866
2016-04-19,41.41,41.490002,40.970001,41.060001,9884400,40.909525
2016-04-20,41.189999,41.389999,41.080002,41.099998,8481200,40.949376
2016-04-21,41.029999,41.299999,40.880001,40.990002,11954100,40.839782
2016-04-22,40.790001,41.43,40.669998,40.700001,15003300,40.550844
2016-04-25,40.59,40.830002,40.470001,40.779999,10876200,40.630549
2016-04-26,40.82,40.849998,40.43,40.650002,8365800,40.501028
2016-04-27,40.509998,41.0,40.509998,40.849998,8742100,40.700292
2016-04-28,40.360001,40.970001,40.169998,40.330002,9233800,40.182201
2016-04-29,40.169998,40.169998,39.369999,39.860001,12883300,39.713922
2016-05-02,39.900002,40.43,39.830002,40.299999,10454200,40.152308
2016-05-03,40.029999,40.110001,39.529999,39.68,11439600,39.534581
2016-05-04,39.389999,39.57,39.130001,39.290001,9046200,39.146011
2016-05-05,39.439999,39.459999,39.130001,39.23,8962700,39.08623
2016-05-06,38.970001,39.419998,38.970001,39.41,7587400,39.26557
2016-05-09,39.34,39.73,39.220001,39.360001,7949400,39.215754
2016-05-10,39.580002,40.060001,39.580002,40.02,9290200,39.873335
2016-05-11,39.860001,40.080002,39.639999,39.650002,7180100,39.504693
2016-05-12,39.889999,40.029999,39.59,39.82,10006700,39.674068
2016-05-13,39.779999,40.080002,39.509998,39.610001,9392600,39.464838
2016-05-16,39.77,40.099998,39.459999,39.970001,7797100,39.823519
2016-05-17,39.799999,40.02,39.470001,39.599998,9483700,39.454873
2016-05-18,39.59,39.799999,39.16,39.470001,10379700,39.325352
2016-05-19,39.16,39.240002,38.560001,38.84,15124400,38.69766
2016-05-20,39.080002,39.580002,38.950001,39.41,16153200,39.26557
2016-05-23,39.310001,39.439999,39.139999,39.18,8904800,39.036414
2016-05-24,39.419998,40.080002,39.25,39.900002,11329800,39.753776
2016-05-25,40.049999,40.290001,40.049999,40.130001,7972200,39.982933
2016-05-26,40.110001,40.200001,39.919998,39.950001,7574000,39.803592
2016-05-27,39.830002,40.080002,39.799999,40.07,8240600,39.923151
2016-05-31,40.080002,40.220001,39.950001,40.200001,12567400,40.052676
2016-06-01,40.060001,40.299999,39.82,40.259998,9268800,40.112454
2016-06-02,38.700001,39.049999,38.080002,38.66,51063400,38.518319
2016-06-03,38.740002,39.209999,38.689999,39.099998,20740000,38.956705
2016-06-06,39.189999,39.639999,39.119999,39.439999,16116900,39.295459
2016-06-07,39.549999,39.740002,39.049999,39.130001,20009500,38.986598
2016-06-08,39.16,39.34,38.900002,39.279999,11671000,39.136046
2016-06-09,39.189999,39.209999,38.75,39.049999,12316100,38.906889
2016-06-10,38.779999,38.990002,38.610001,38.740002,10441700,38.598028
2016-06-13,38.5,38.889999,38.380001,38.619999,13036300,38.478465
2016-06-14,38.630001,38.98,38.57,38.830002,12092200,38.687698
2016-06-15,38.799999,38.919998,38.41,38.439999,14476100,38.299124
2016-06-16,38.360001,38.799999,38.080002,38.639999,17916500,38.498392
2016-06-17,39.490002,39.959999,38.919998,39.68,34512400,39.534581
2016-06-20,39.900002,40.349998,39.700001,39.73,17149200,39.584397
2016-06-21,39.93,40.119999,39.75,39.990002,20111100,39.843447
2016-06-22,40.150002,40.34,39.869999,40.009998,12643400,39.86337
2016-06-23,40.400002,40.869999,40.259998,40.830002,15430000,40.680368
2016-06-24,39.380001,39.889999,39.02,39.23,44204500,39.08623
2016-06-27,38.869999,38.880001,38.18,38.48,22506100,38.338978
2016-06-28,38.720001,39.189999,38.580002,39.130001,14750900,38.986598
2016-06-29,39.759998,40.700001,39.490002,40.549999,23009700,40.401392
2016-06-30,40.48,41.16,40.470001,40.93,20100900,40.78
2016-07-01,40.779999,41.049999,40.689999,40.860001,11381600,40.860001
2016-07-05,40.330002,40.580002,40.150002,40.400002,12501400,40.400002
2016-07-06,40.200001,40.57,40.02,40.529999,12124300,40.529999
2016-07-07,40.650002,40.830002,40.419998,40.529999,11676700,40.529999
2016-07-08,40.880001,41.18,40.740002,40.869999,14182000,40.869999
2016-07-11,40.900002,41.139999,40.75,40.779999,12897300,40.779999
